isExperimental,team,id,scopeConfidence,stateUnderstanding,contributionUnderstanding,scopeFrequency,playtestFrequency
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,c46e23c8080637f6def422948dc1ef3df770e63f,,,,,
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,116b88b3251b023c844824bdcc940d2e5e9deaef,9,10,10,3,0
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,0a60e0f4c7c807ff8c83b8f5eefd73e4c7e8b83d,6,7,9,2,2
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,54d00457354b79f358184c29d84b7e5229f0134a,7,6,7,1,2
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,27883e2e7a376794cb15cec9f7bd2a04c4d87766,8,8,10,3,2
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,27883e2e7a376794cb15cec9f7bd2a04c4d87766,8,9,10,2,2
True,ccd04939f25266ed88d9dbb3eb298866911b04f4,b529ddd91385ca1b11166c9bb209b1ac1c9a3491,7,8,9,1,1
False,0bab1dd8bdb38481cdd144b3acb6368847c0c662,4fcfcd9a5e6aa90e87e5251a6078ee1a260a1779,8,9,9,1,2
False,0bab1dd8bdb38481cdd144b3acb6368847c0c662,4592fba6b21428e405c44e4028314d18b4bfb619,7,9,10,1,3
False,0bab1dd8bdb38481cdd144b3acb6368847c0c662,c75116502fbb9695f88f494450c93fba64c1c6b4,10,10,10,2,1
False,db00e4fdc8a6d8fc749a23649c9ec9343051ec47,fe52ba13d130b9f50275e3eb9fca508cd16e0e02,9,8,10,2,0
False,0bab1dd8bdb38481cdd144b3acb6368847c0c662,4fcfcd9a5e6aa90e87e5251a6078ee1a260a1779,9,10,8,1,0
False,0bab1dd8bdb38481cdd144b3acb6368847c0c662,4592fba6b21428e405c44e4028314d18b4bfb619,7,7,7,1,1
